Generation type,Fuel,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,
Major power producers [note 6][note 7],Coal,"140,238","114,968","118,595","102,074","117,025","127,128","120,958","134,023","127,827","130,690","144,947","132,074","120,305","99,287","103,841","104,668","139,800","130,175","100,167","75,812","30,613","22,481","16,778","6,865","5,648","6,737","5,895","3,736","2,001",,
Major power producers [note 6][note 7],Oil,"11,132","5,267","3,442","2,943","2,415","2,472","2,011","2,197","1,883","2,921","3,723","2,955","4,557","3,839","2,273","1,075","1,451",745,530,683,606,390,627,671,512,718,815,581,533,,
Major power producers [note 6][note 7],Gas,"75,301","100,330","105,804","128,365","129,558","126,999","135,741","131,238","140,577","137,483","126,637","149,346","161,583","152,598","161,748","132,753","86,229","82,891","88,871","88,461","131,972","124,512","119,632","118,593","99,317","111,018","114,021","89,692","74,805",,
Major power producers [note 6][note 7],Nuclear,"94,671","98,146","99,486","95,133","85,063","90,093","87,848","88,686","79,999","81,618","75,451","63,028","52,486","69,098","62,140","68,980","70,405","70,607","63,748","70,345","71,726","70,336","65,064","56,184","50,239","46,104","47,400","40,596","40,588",,
Major power producers [note 6][note 7],Hydro (natural flow),"2,801","3,337","4,237","4,431","4,331","3,215","3,927","2,568","3,908","3,826","3,693","4,144","4,224","4,294","2,703","4,594","4,170","3,609","4,635","4,907","3,951","4,179","3,800","4,190","5,007","3,736","3,916","3,812","4,032",,
Major power producers [note 6][note 7],Total wind,0,0,0,0,0,0,0,0,0,0,0,"3,569","5,388","6,540","7,970","12,918","17,157","23,958","26,762","33,257","30,712","40,954","47,924","55,074","66,295","57,479","71,625","74,067","75,739",,
Major power producers [note 6][note 7],Onshore wind,0,0,0,0,0,0,0,0,0,0,0,"2,865","4,325","5,087","4,910","7,769","9,554","12,487","13,360","15,852","14,314","20,080","21,416","23,246","25,569","21,952","26,659","24,575","27,378",,
Major power producers [note 6][note 7],Offshore wind,0,0,0,0,0,0,0,0,0,0,0,704,"1,062","1,453","3,060","5,149","7,603","11,472","13,402","17,406","16,399","20,874","26,508","31,828","40,726","35,527","44,967","49,492","48,361",,
Major power producers [note 6][note 7],Solar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,405","2,035","2,978","3,530","3,860","4,344","4,307","4,741","4,600","4,746",,
Major power producers [note 6][note 7],Thermal renewables [note 9],536,599,576,761,698,738,856,"1,154","1,471","2,744","2,928","2,341","2,608","2,670","3,783","4,646","6,113","9,212","12,698","17,694","17,400","17,766","19,965","20,838","20,949","22,218","18,085","16,326","21,079",,
Major power producers [note 6][note 7],Other fuels [note 10],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522,528,689,968,"1,276","1,131","1,161","1,446","1,626","1,582","1,553","1,613",,
Major power producers [note 6][note 7],Energy storage,"1,556","1,486","1,624","2,902","2,694","2,422","2,652","2,734","2,649","2,930","3,853","3,859","4,089","3,685","3,150","2,906","2,966","2,904","2,883","2,739","2,959","2,872","2,534","1,838","1,680","1,987","2,185","2,844","3,871",,
Major power producers [note 6][note 7],Total major power producers,"326,235","324,133","333,764","336,609","341,784","353,067","353,993","362,600","358,313","362,212","361,232","361,317","355,239","342,011","347,607","332,539","328,291","324,623","300,822","295,991","292,943","287,745","280,986","269,275","255,437","255,930","270,267","237,807","229,008",,
Other generators,Coal,"4,978","4,750","4,376","4,106","2,925","4,333","3,321","4,282","3,961","3,947","3,903","3,870","4,077","3,751","3,753","3,774","2,992",83,72,66,56,49,53,51,51,49,48,39,39,,
Other generators,Oil,"3,823","3,419","3,913","3,606","4,109","2,781","2,788","2,397","2,761","2,417","2,450","2,093","2,152","2,155","2,532","2,044","1,441","1,321","1,390","1,354","1,285","1,225",947,"1,317",919,"1,244","2,015","1,424","1,284",,
Other generators,Gas,"8,785","10,633","11,994","14,537","18,519","14,906","16,536","17,643","16,487","15,159","14,191","16,447","14,636","13,901","13,906","13,746","13,940","12,952","12,021","11,415","11,384","12,233","11,857","14,495","12,577","11,818","11,097","12,099","11,868",,
Other generators,Hydro (natural flow),592,832,881,905,755,840,860,660,936,"1,096",900,933,921,936,888,"1,098","1,140","1,092","1,253","1,391","1,419","1,703","1,643","1,743","1,871","1,682","1,151","1,651","1,763",,
Other generators,Total wind,488,667,877,850,946,965,"1,256","1,285","1,935","2,904","4,225","1,705","1,736","2,743","2,316","3,045","2,690","4,439","5,197","7,018","6,447","8,687","8,984","8,761","9,328","7,445","8,589","8,079","7,543",,
Other generators,Onshore wind,488,667,877,850,945,960,"1,251","1,276","1,736","2,501","3,574","1,626","1,463","2,442","2,316","3,045","2,690","4,439","5,195","7,000","6,440","8,645","8,967","8,614","9,304","7,375","8,443","7,921","7,365",,
Other generators,Offshore wind,0,0,0,0,1,5,5,10,199,403,651,79,273,301,0,0,0,0,3,17,7,41,17,147,24,70,146,158,178,,
Other generators,Shoreline wave / tidal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,5,2,2,0,4,9,14,11,5,11,13,13,,
Other generators,Solar,0,0,0,1,1,2,3,3,4,8,11,14,17,20,40,244,"1,354","2,010","4,054","6,128","8,360","8,479","9,138","8,558","8,203","7,822","9,241","10,039","9,618",,
Other generators,Thermal renewables [note 9],"1,685","1,994","2,661","3,227","3,630","4,316","4,769","5,537","6,469","6,941","6,999","6,983","6,926","8,004","8,478","8,668","8,621","8,888","9,921","11,563","12,666","14,128","15,136","16,689","17,617","17,783","17,866","18,171","19,173",,
Other generators,Other fuels [note 10],"4,283","4,239","4,236","4,312","4,401","3,577","3,719","3,800","3,062","3,676","3,371","3,467","3,188","3,196","2,545","2,823","3,401","2,870","3,363","3,948","4,605","3,944","4,998","6,272","4,282","4,103","4,534","4,756","4,645",,
Other generators,Total other generators,"24,632","26,534","28,938","31,544","35,286","31,720","33,252","35,607","35,616","36,148","36,050","35,513","33,653","34,707","34,461","35,443","35,582","33,661","37,274","42,885","46,221","50,453","52,767","57,900","54,859","51,950","54,554","56,272","55,948",,
All generating companies,Coal,"145,216","119,718","122,971","106,180","119,950","131,461","124,279","138,305","131,788","134,637","148,850","135,944","124,381","103,038","107,594","108,442","142,792","130,258","100,239","75,878","30,669","22,530","16,831","6,917","5,700","6,785","5,943","3,775","2,040",,
All generating companies,Oil,"14,955","8,686","7,355","6,549","6,524","5,253","4,799","4,594","4,644","5,338","6,173","5,048","6,709","5,995","4,805","3,119","2,891","2,066","1,920","2,037","1,890","1,614","1,573","1,988","1,431","1,962","2,830","2,005","1,817",,
All generating companies,Gas,"84,086","110,963","117,798","142,902","148,077","141,905","152,277","148,881","157,064","152,642","140,828","165,793","176,219","166,499","175,653","146,499","100,170","95,843","100,892","99,875","143,356","136,746","131,490","133,089","111,894","122,836","125,118","101,791","86,674",,
All generating companies,Nuclear,"94,671","98,146","99,486","95,133","85,063","90,093","87,848","88,686","79,999","81,618","75,451","63,028","52,486","69,098","62,140","68,980","70,405","70,607","63,748","70,345","71,726","70,336","65,064","56,184","50,239","46,104","47,400","40,596","40,588",,
