Month,Electricity generated by Major Power Producers,Own use,Total electricity supplied by MPPs,"Coal
[note 7]",Oil,Gas, Nuclear, Hydro,"Total wind 
[note 8]
[note 9]","Onshore 
wind","Offshore 
wind",Solar,"Bioenergy
[note 10]","Other fuels 
[note 10]","Pumped 
storage 
[note 11]",Battery storage [note 12],"Conventional 
thermal stations 
[note 13]","CCGT stations 
[note 14]",Net imports,"Net purchases from 
other sources 
[note 15]","Total electricity 
available","Low carbon 
[note 4]","Renewables 
[note 4]","Fossil fuels 
[note 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 1997,29.88,1.64,28.24,12.19,1.03,7.36,7.48,0.13,,,,,0.05,,,,14.04,6.53,1.29,0.50,30.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 1997,28.47,1.52,26.95,10.31,0.67,7.91,7.78,0.24,,,,,0.05,,,,11.94,6.96,1.33,0.50,28.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 1997,32.66,1.68,30.98,11.29,0.47,9.90,8.65,0.62,,,,,0.04,,,,13.00,8.71,1.65,0.63,33.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 1997,23.79,1.32,22.47,7.22,0.22,7.64,7.13,0.22,,,,,0.04,,,,8.67,6.42,1.32,0.38,24.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 1997,22.97,1.23,21.74,6.23,0.26,7.58,7.48,0.15,,,,,0.05,,,,7.64,6.46,1.28,0.38,23.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June 1997,27.02,1.48,25.54,7.72,0.51,8.68,8.51,0.07,,,,,0.04,,,,8.91,7.94,1.46,0.48,27.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July 1997,22.41,1.29,21.12,6.52,0.35,7.37,6.79,0.04,,,,,0.04,,,,7.78,6.46,1.25,0.36,22.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August 1997,21.62,1.22,20.39,6.43,0.28,7.19,6.41,0.05,,,,,0.04,,,,7.74,6.14,1.27,0.36,22.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September 1997,28.26,1.58,26.67,9.97,0.31,9.00,7.16,0.18,,,,,0.04,,,,11.94,7.42,1.47,0.45,28.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October 1997,24.70,1.36,23.35,9.04,0.21,7.98,5.95,0.11,,,,,0.05,,,,10.15,7.13,1.33,0.45,25.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November 1997,27.40,1.60,25.80,9.84,0.24,8.47,7.10,0.11,,,,,0.05,,,,11.06,7.60,1.32,0.45,27.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 1997,34.97,1.97,32.99,13.31,0.33,10.07,8.90,0.34,,,,,0.05,,,,15.11,8.90,1.61,0.56,35.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January 1998,27.90,1.59,26.31,9.70,0.25,8.21,7.68,0.52,,,,,0.04,,-0.08,,10.64,7.55,1.23,0.55,28.08,8.23,0.56,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February 1998,28.37,1.60,26.78,10.62,0.27,8.34,7.15,0.45,,,,,0.04,,-0.09,,11.90,7.36,1.33,0.54,28.64,7.64,0.49,19.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March 1998,34.48,1.88,32.61,12.23,0.29,10.70,8.81,0.64,,,,,0.03,,-0.09,,14.02,9.24,1.66,0.62,34.89,9.48,0.67,23.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April 1998,25.85,1.49,24.36,9.47,0.20,7.63,6.80,0.30,,,,,0.04,,-0.07,,10.70,6.64,1.26,0.39,26.02,7.14,0.34,17.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
