Year,Cars - petrol,Cars - white diesel,Cars - all,LGV - petrol,LGV - white diesel,LGV - all,Artic HGV - white diesel,Rigid HGV - white diesel,HGV - white diesel,Buses - white diesel,Motorcycles - petrol,All - white diesel,All - petrol,All - LPG (unallocated),All - biofuels (Unallocated),All vehicles,,,,,,,,,,,,,,,,
1970,12.03,0.11,12.13,1.78,0.25,2.04,0.81,2.65,3.47,0.98,0.20,4.81,14.01,0.00,[x],18.82,,,,,,,,,,,,,,,,
1971,12.72,0.12,12.83,1.82,0.28,2.10,0.84,2.75,3.59,0.98,0.20,4.96,14.74,0.00,[x],19.70,,,,,,,,,,,,,,,,
1972,13.60,0.12,13.72,1.89,0.30,2.19,0.85,2.78,3.63,0.97,0.18,5.02,15.67,0.00,[x],20.69,,,,,,,,,,,,,,,,
1973,14.51,0.13,14.64,1.98,0.33,2.31,0.92,3.02,3.94,1.00,0.20,5.40,16.68,0.00,[x],22.09,,,,,,,,,,,,,,,,
1974,14.05,0.13,14.18,1.99,0.34,2.33,0.97,2.91,3.87,0.92,0.21,5.27,16.24,0.00,[x],21.51,,,,,,,,,,,,,,,,
1975,13.74,0.13,13.87,1.91,0.33,2.24,0.95,2.87,3.82,0.90,0.24,5.18,15.89,0.00,[x],21.07,,,,,,,,,,,,,,,,
1976,14.38,0.13,14.52,1.95,0.33,2.28,1.02,2.96,3.98,0.91,0.30,5.35,16.64,0.00,[x],22.00,,,,,,,,,,,,,,,,
1977,14.82,0.14,14.96,1.98,0.36,2.33,1.11,2.94,4.06,0.91,0.30,5.47,17.10,0.00,[x],22.56,,,,,,,,,,,,,,,,
1978,15.76,0.15,15.90,2.05,0.37,2.42,1.20,2.98,4.19,0.92,0.30,5.63,18.11,0.00,[x],23.73,,,,,,,,,,,,,,,,
1979,16.06,0.15,16.20,2.06,0.38,2.44,1.31,3.02,4.34,0.94,0.32,5.81,18.44,0.00,[x],24.25,,,,,,,,,,,,,,,,
1980,16.50,0.15,16.65,2.04,0.38,2.43,1.25,2.87,4.12,0.97,0.37,5.63,18.91,0.00,[x],24.54,,,,,,,,,,,,,,,,
1981,16.12,0.15,16.27,1.96,0.39,2.35,1.19,2.66,3.85,0.94,0.41,5.33,18.49,0.00,[x],23.82,,,,,,,,,,,,,,,,
1982,16.66,0.16,16.82,1.93,0.41,2.34,1.29,2.66,3.95,0.99,0.43,5.51,19.02,0.00,[x],24.53,,,,,,,,,,,,,,,,
1983,17.01,0.18,17.19,1.93,0.43,2.36,1.42,2.84,4.26,1.10,0.39,5.96,19.33,0.00,[x],25.29,,,,,,,,,,,,,,,,
1984,17.60,0.19,17.79,2.02,0.47,2.48,1.59,3.08,4.67,1.19,0.37,6.52,19.99,0.00,[x],26.51,,,,,,,,,,,,,,,,
1985,17.79,0.21,18.00,2.04,0.50,2.54,1.71,3.27,4.98,1.18,0.33,6.87,20.16,0.00,[x],27.03,,,,,,,,,,,,,,,,
1986,18.75,0.24,18.99,2.15,0.57,2.71,1.91,3.63,5.54,1.28,0.32,7.62,21.22,0.00,[x],28.84,,,,,,,,,,,,,,,,
1987,19.37,0.35,19.72,2.26,0.60,2.86,2.14,3.75,5.89,1.37,0.29,8.21,21.93,0.00,[x],30.14,,,,,,,,,,,,,,,,
1988,20.36,0.42,20.79,2.36,0.77,3.13,2.41,4.02,6.43,1.47,0.26,9.10,22.98,0.00,[x],32.08,,,,,,,,,,,,,,,,
1989,20.81,0.60,21.41,2.60,1.20,3.80,3.04,3.38,6.42,1.61,0.24,9.83,23.65,0.00,[x],33.48,,,,,,,,,,,,,,,,
1990,21.54,1.03,22.57,2.23,1.31,3.53,3.23,3.40,6.63,1.65,0.20,10.62,23.97,0.00,[x],34.59,,,,,,,,,,,,,,,,
1991,21.33,1.17,22.50,2.16,1.51,3.67,3.11,3.19,6.30,1.68,0.20,10.66,23.68,0.00,[x],34.34,,,,,,,,,,,,,,,,
1992,21.52,1.47,22.99,2.02,1.68,3.70,3.06,3.21,6.28,1.66,0.17,11.09,23.71,0.00,[x],34.80,,,,,,,,,,,,,,,,
