Year,Coal,Energy storage,Gas,Hydro (natural flow),Nuclear,Offshore wind,Oil,Onshore wind,Other fuels [note 10],Shoreline wave / tidal,Solar,Thermal renewables [note 9],Total all generating companies,Total fossil fuel generation [note 15],Total low carbon generation [note 14],Total renewable generation [note 13],Total wind
1996,"145,216","1,556","84,086","3,393","94,671",0,"14,955",488,"4,283",0,0,"2,221","350,867","244,257","100,773","6,102",488
1997,"119,718","1,486","110,963","4,169","98,146",0,"8,686",667,"4,239",0,0,"2,593","350,667","239,367","105,575","7,429",667
1998,"122,971","1,624","117,798","5,118","99,486",0,"7,355",877,"4,236",0,0,"3,237","362,702","248,124","108,718","9,232",877
1999,"106,180","2,902","142,902","5,336","95,133",0,"6,549",850,"4,312",0,1,"3,988","368,153","255,631","105,308","10,175",850
2000,"119,950","2,694","148,077","5,086","85,063",1,"6,524",945,"4,401",0,1,"4,328","377,070","274,551","95,424","10,361",946
2001,"131,461","2,422","141,905","4,055","90,093",5,"5,253",960,"3,577",0,2,"5,054","384,787","278,619","100,169","10,076",965
2002,"124,279","2,652","152,277","4,787","87,848",5,"4,799","1,251","3,719",0,3,"5,625","387,245","281,355","99,519","11,671","1,256"
2003,"138,305","2,734","148,881","3,228","88,686",10,"4,594","1,276","3,800",0,3,"6,691","398,207","291,780","99,893","11,207","1,285"
2004,"131,788","2,649","157,064","4,844","79,999",199,"4,644","1,736","3,062",0,4,"7,940","393,929","293,496","94,722","14,723","1,935"
2005,"134,637","2,930","152,642","4,922","81,618",403,"5,338","2,501","3,676",0,8,"9,685","398,360","292,617","99,137","17,519","2,904"
2006,"148,850","3,853","140,828","4,593","75,451",651,"6,173","3,574","3,371",0,11,"9,928","397,282","295,851","94,207","18,757","4,225"
2007,"135,944","3,859","165,793","5,077","63,028",783,"5,048","4,491","3,467",0,14,"9,325","396,830","306,785","82,718","19,690","5,274"
2008,"124,381","4,089","176,219","5,145","52,486","1,335","6,709","5,788","3,188",0,17,"9,535","388,892","307,309","74,306","21,820","7,123"
2009,"103,038","3,685","166,499","5,231","69,098","1,754","5,995","7,529","3,196",1,20,"10,674","376,718","275,531","94,306","25,208","9,283"
2010,"107,594","3,150","175,653","3,591","62,140","3,060","4,805","7,226","2,545",2,40,"12,261","382,068","288,053","88,320","26,180","10,286"
2011,"108,442","2,906","146,499","5,692","68,980","5,149","3,119","10,814","2,823",1,244,"13,313","367,982","258,060","104,193","35,212","15,963"
2012,"142,792","2,966","100,170","5,310","70,405","7,603","2,891","12,244","3,401",4,"1,354","14,734","363,874","245,853","111,654","41,249","19,847"
2013,"130,258","2,904","95,843","4,701","70,607","11,472","2,066","16,925","3,392",5,"2,010","18,100","358,283","228,167","123,820","53,213","28,397"
2014,"100,239","2,883","100,892","5,888","63,748","13,405","1,920","18,555","3,891",2,"4,054","22,619","338,096","203,051","128,270","64,523","31,959"
2015,"75,878","2,739","99,875","6,297","70,345","17,423","2,037","22,852","4,636",2,"7,533","29,257","338,875","177,791","153,709","83,364","40,275"
2016,"30,669","2,959","143,356","5,370","71,726","16,406","1,890","20,754","5,573",0,"10,395","30,066","339,164","175,915","154,717","82,991","37,159"
2017,"22,530","2,872","136,746","5,882","70,336","20,916","1,614","28,725","5,219",4,"11,457","31,894","338,198","160,891","169,215","98,879","49,641"
2018,"16,831","2,534","131,490","5,443","65,064","26,525","1,573","30,382","6,129",9,"12,668","35,102","333,752","149,894","175,194","110,130","56,908"
2019,"6,917","1,838","133,089","5,933","56,184","31,975","1,988","31,860","7,433",14,"12,418","37,526","327,175","141,993","175,910","119,726","63,835"
2020,"5,700","1,680","111,894","6,878","50,239","40,750","1,431","34,873","5,727",11,"12,547","38,565","310,296","119,025","183,864","133,625","75,623"
2021,"6,785","1,987","122,836","5,418","46,104","35,597","1,962","29,327","5,729",5,"12,128","40,001","307,881","131,583","168,581","122,477","64,924"
2022,"5,943","2,185","125,118","5,068","47,400","45,113","2,830","35,102","6,116",11,"13,983","35,952","324,821","133,891","182,628","135,228","80,214"
2023,"3,775","2,844","101,791","5,464","40,596","49,650","2,005","32,496","6,310",13,"14,639","34,497","294,079","107,571","177,354","136,758","82,146"
2024,"2,040","3,871","86,674","5,796","40,588","48,539","1,817","34,744","6,259",13,"14,364","40,252","284,956","90,531","184,296","143,708","83,283"
