Year,Country,Exports,Imports,Net imports
1998,Belgium,,,
1998,Denmark,,,
1998,France,0,"12,787","12,787"
1998,Ireland to Northern Ireland,,52,-79
1998,Ireland to Wales,,,
1998,Netherlands,,,
1998,Northern Ireland to Ireland,131,,
1998,Norway,,,
1998,Wales to Ireland,,,
1998,to UK,,,"12,709"
1999,Belgium,,,
1999,Denmark,,,
1999,France,0,"14,484","14,484"
1999,Ireland to Northern Ireland,,23,-240
1999,Ireland to Wales,,,
1999,Netherlands,,,
1999,Northern Ireland to Ireland,263,,
1999,Norway,,,
1999,Wales to Ireland,,,
1999,to UK,,,"14,244"
2000,Belgium,,,
2000,Denmark,,,
2000,France,1,"14,267","14,266"
2000,Ireland to Northern Ireland,,41,-92
2000,Ireland to Wales,,,
2000,Netherlands,,,
2000,Northern Ireland to Ireland,133,,
2000,Norway,,,
2000,Wales to Ireland,,,
2000,to UK,,,"14,174"
2001,Belgium,,,
2001,Denmark,,,
2001,France,193,"10,563","10,369"
2001,Ireland to Northern Ireland,,101,30
2001,Ireland to Wales,,,
2001,Netherlands,,,
2001,Northern Ireland to Ireland,71,,
2001,Norway,,,
2001,Wales to Ireland,,,
2001,to UK,,,"10,400"
2002,Belgium,,,
2002,Denmark,,,
2002,France,621,"9,042","8,421"
2002,Ireland to Northern Ireland,,140,-8
2002,Ireland to Wales,,,
2002,Netherlands,,,
2002,Northern Ireland to Ireland,148,,
2002,Norway,,,
2002,Wales to Ireland,,,
2002,to UK,,,"8,414"
2003,Belgium,,,
2003,Denmark,,,
2003,France,"2,873","5,000","2,127"
2003,Ireland to Northern Ireland,,119,33
2003,Ireland to Wales,,,
2003,Netherlands,,,
2003,Northern Ireland to Ireland,86,,
2003,Norway,,,
2003,Wales to Ireland,,,
2003,to UK,,,"2,160"
2004,Belgium,,,
2004,Denmark,,,
2004,France,728,"10,027","9,299"
2004,Ireland to Northern Ireland,,0,"-1,574"
2004,Ireland to Wales,,,
2004,Netherlands,,,
2004,Northern Ireland to Ireland,"1,574",,
2004,Norway,,,
2004,Wales to Ireland,,,
2004,to UK,,,"7,725"
2005,Belgium,,,
2005,Denmark,,,
2005,France,765,"11,159","10,394"
2005,Ireland to Northern Ireland,,1,"-2,073"
2005,Ireland to Wales,,,
2005,Netherlands,,,
2005,Northern Ireland to Ireland,"2,074",,
2005,Norway,,,
2005,Wales to Ireland,,,
2005,to UK,,,"8,321"
2006,Belgium,,,
2006,Denmark,,,
2006,France,861,"10,592","9,731"
2006,Ireland to Northern Ireland,,10,"-1,778"
2006,Ireland to Wales,,,
2006,Netherlands,,,
2006,Northern Ireland to Ireland,"1,788",,
2006,Norway,,,
2006,Wales to Ireland,,,
2006,to UK,,,"7,953"
2007,Belgium,,,
2007,Denmark,,,
2007,France,"2,016","8,562","6,546"
2007,Ireland to Northern Ireland,,53,"-1,329"
2007,Ireland to Wales,,,
2007,Netherlands,,,
2007,Northern Ireland to Ireland,"1,382",,
2007,Norway,,,
2007,Wales to Ireland,,,
2007,to UK,,,"5,217"
2008,Belgium,,,
2008,Denmark,,,
2008,France,898,"12,142","11,244"
2008,Ireland to Northern Ireland,,152,-222
2008,Ireland to Wales,,,
2008,Netherlands,,,
2008,Northern Ireland to Ireland,373,,
2008,Norway,,,
2008,Wales to Ireland,,,
2008,to UK,,,"11,022"
2009,Belgium,,,
2009,Denmark,,,
2009,France,"3,296","6,524","3,228"
2009,Ireland to Northern Ireland,,85,-367
2009,Ireland to Wales,,,
2009,Netherlands,,,
2009,Northern Ireland to Ireland,452,,
2009,Norway,,,
2009,Wales to Ireland,,,
2009,to UK,,,"2,861"
2010,Belgium,,,
2010,Denmark,,,
2010,France,"4,103","6,998","2,895"
2010,Ireland to Northern Ireland,,145,-234
2010,Ireland to Wales,,,
2010,Netherlands,,,
2010,Northern Ireland to Ireland,379,,
2010,Norway,,,
2010,Wales to Ireland,,,
2010,to UK,,,"2,662"
2011,Belgium,,,
2011,Denmark,,,
2011,France,"1,354","6,031","4,678"
2011,Ireland to Northern Ireland,,121,-245
2011,Ireland to Wales,,,
2011,Netherlands,747,"2,538","1,791"
2011,Northern Ireland to Ireland,366,,
2011,Norway,,,
2011,Wales to Ireland,,,
2011,to UK,,,"6,223"
2012,Belgium,,,
2012,Denmark,,,
2012,France,"1,185","7,550","6,365"
2012,Ireland to Northern Ireland,,173,-160
2012,Ireland to Wales,,22,-104
2012,Netherlands,267,"6,030","5,763"
2012,Northern Ireland to Ireland,333,,
2012,Norway,,,
2012,Wales to Ireland,126,,
2012,to UK,,,"11,864"
2013,Belgium,,,
2013,Denmark,,,
2013,France,534,"10,837","10,302"
2013,Ireland to Northern Ireland,,157,-45
2013,Ireland to Wales,,61,"-2,161"
2013,Netherlands,143,"6,478","6,335"
2013,Northern Ireland to Ireland,202,,
2013,Norway,,,
2013,Wales to Ireland,"2,222",,
2013,to UK,,,"14,431"
2014,Belgium,,,
2014,Denmark,,,
2014,France,13,"14,965","14,951"
2014,Ireland to Northern Ireland,,243,121
2014,Ireland to Wales,,169,"-2,408"
2014,Netherlands,11,"7,867","7,856"
2014,Northern Ireland to Ireland,122,,
2014,Norway,,,
2014,Wales to Ireland,"2,577",,
2014,to UK,,,"20,520"
2015,Belgium,,,
2015,Denmark,,,
2015,France,174,"14,012","13,838"
2015,Ireland to Northern Ireland,,490,334
2015,Ireland to Wales,,453,"-1,065"
2015,Netherlands,8,"8,006","7,999"
2015,Northern Ireland to Ireland,155,,
2015,Norway,,,
2015,Wales to Ireland,"1,518",,
2015,to UK,,,"21,106"
2016,Belgium,,,
2016,Denmark,,,
2016,France,"1,330","11,058","9,728"
2016,Ireland to Northern Ireland,,639,399
2016,Ireland to Wales,,874,313
2016,Netherlands,141,"7,447","7,306"
2016,Northern Ireland to Ireland,240,,
2016,Norway,,,
2016,Wales to Ireland,562,,
2016,to UK,,,"17,745"
2017,Belgium,0,0,0
2017,Denmark,,,
2017,France,"2,251","9,432","7,181"
2017,Ireland to Northern Ireland,,271,-110
2017,Ireland to Wales,,"1,413",831
2017,Netherlands,193,"7,051","6,858"
