Year,Imports (France to UK),Exports (UK to France),Net imports (France to UK),Utilisation (France and UK) [note 3],Imports (Ireland to Northern Ireland),Exports (Northern Ireland to Ireland),Net imports (Ireland to Northern Ireland),Utilisation (Ireland and Northern Ireland) [note 3],Imports (Netherlands to UK),Exports (UK to Netherlands),Net imports (Netherlands to UK),Utilisation (Netherlands and UK) [note 3],Imports (Ireland to Wales),Exports (Wales to Ireland),Net imports (Ireland to Wales),Utilisation (Ireland and Wales) [note 3],Imports (Belgium to UK),Exports (UK to Belgium),Net imports (Belgium to UK),Utilisation (Belgium and UK) [note 3],Imports (Norway to UK),Exports (UK to Norway),Net imports (Norway to UK),Utilisation (Norway and UK) [note 3],Imports (Denmark to UK),Exports (UK to Denmark),Net imports (Denmark to UK),Utilisation (Denmark and UK) [note 3],Total Imports (to UK),Total Exports (from UK),Net imports (to UK),Transfers to England (from Scotland),Transfers to Scotland (from England),Net transfers (Scotland to England),Transfers to NI (from Scotland),Transfers to Scotland (from NI),Net transfers (to NI from Scotland)
1998,"12,787",0,"12,787",73%,52,131,-79,4%,,,,,,,,,,,,,,,,,,,,,"12,839",131,"12,709",,,,,,
1999,"14,484",0,"14,484",83%,23,263,-240,6%,,,,,,,,,,,,,,,,,,,,,"14,507",263,"14,244",,,,,,
2000,"14,267",1,"14,266",81%,41,133,-92,4%,,,,,,,,,,,,,,,,,,,,,"14,308",134,"14,174","9,582",21,"9,561",,,
2001,"10,563",193,"10,369",61%,101,71,30,4%,,,,,,,,,,,,,,,,,,,,,"10,663",264,"10,400","8,696",2,"8,694",,,
2002,"9,042",621,"8,421",55%,140,148,-8,6%,,,,,,,,,,,,,,,,,,,,,"9,182",769,"8,414","6,326",370,"5,956",816,0,816
2003,"5,000","2,873","2,127",45%,119,86,33,4%,,,,,,,,,,,,,,,,,,,,,"5,119","2,959","2,160","5,818",666,"5,152","1,012",0,"1,012"
2004,"10,027",728,"9,299",61%,0,"1,574","-1,574",33%,,,,,,,,,,,,,,,,,,,,,"10,027","2,302","7,725","6,570",789,"5,780","2,793",0,"2,793"
2005,"11,159",765,"10,394",68%,1,"2,074","-2,073",44%,,,,,,,,,,,,,,,,,,,,,"11,160","2,839","8,321","6,618",990,"5,628","1,687",0,"1,687"
2006,"10,592",861,"9,731",65%,10,"1,788","-1,778",38%,,,,,,,,,,,,,,,,,,,,,"10,602","2,649","7,953","10,194",158,"10,036",941,36,905
2007,"8,562","2,016","6,546",60%,53,"1,382","-1,329",30%,,,,,,,,,,,,,,,,,,,,,"8,615","3,398","5,217","6,662","1,028","5,634","1,730",2,"1,728"
2008,"12,142",898,"11,244",74%,152,373,-222,11%,,,,,,,,,,,,,,,,,,,,,"12,294","1,272","11,022","8,752",307,"8,444",700,155,545
2009,"6,524","3,296","3,228",56%,85,452,-367,11%,,,,,,,,,,,,,,,,,,,,,"6,609","3,748","2,861","10,405",196,"10,209","1,991",14,"1,977"
2010,"6,998","4,103","2,895",63%,145,379,-234,11%,,,,,,,,,,,,,,,,,,,,,"7,144","4,482","2,662","8,238",240,"7,998","2,298",1,"2,297"
2011,"6,031","1,354","4,678",42%,121,366,-245,10%,"2,538",747,"1,791",38%,,,,,,,,,,,,,,,,,"8,690","2,467","6,223","11,834",236,"11,597","1,769",0,"1,769"
2012,"7,550","1,185","6,365",50%,173,333,-160,11%,"6,030",267,"5,763",72%,22,126,-104,3%,,,,,,,,,,,,,"13,774","1,910","11,864","11,123",406,"10,717","2,164",2,"2,162"
2013,"10,837",534,"10,302",65%,157,202,-45,8%,"6,478",143,"6,335",76%,61,"2,222","-2,161",52%,,,,,,,,,,,,,"17,533","3,102","14,431","13,474",199,"13,275","1,551",11,"1,541"
2014,"14,965",13,"14,951",85%,243,122,121,8%,"7,867",11,"7,856",90%,169,"2,577","-2,408",63%,,,,,,,,,,,,,"23,243","2,723","20,520","10,906",136,"10,770","1,109",65,"1,044"
2015,"14,012",174,"13,838",81%,490,155,334,14%,"8,006",8,"7,999",91%,453,"1,518","-1,065",45%,,,,,,,,,,,,,"22,961","1,855","21,106","14,822",224,"14,598",685,494,191
2016,"11,058","1,330","9,728",71%,639,240,399,19%,"7,447",141,"7,306",86%,874,562,313,33%,,,,,,,,,,,,,"20,018","2,273","17,745","10,303",664,"9,639",438,690,-252
2017,"9,432","2,251","7,181",67%,271,381,-110,14%,"7,051",193,"6,858",83%,"1,413",582,831,46%,0,0,0,0%,,,,,,,,,"18,167","3,407","14,760","13,513",500,"13,013",747,892,-145
2018,"13,287",397,"12,890",78%,377,848,-471,26%,"6,392",207,"6,185",75%,"1,277",773,504,47%,0,0,0,0%,,,,,,,,,"21,332","2,225","19,108","13,360",550,"12,810","1,315",609,707
2019,"11,875",729,"11,147",72%,302,"1,127",-825,30%,"6,049",354,"5,695",73%,"1,238","1,058",180,52%,"5,091",118,"4,973",59%,,,,,,,,,"24,556","3,385","21,170","15,622",749,"14,873","1,475",495,981
2020,"10,412","1,680","8,732",69%,321,"1,074",-753,29%,"4,674",547,"4,127",59%,"1,600",689,911,52%,"5,384",491,"4,893",67%,,,,,,,,,"22,391","4,481","17,910","19,360",310,"19,050","1,063",767,296
2021,"15,164","1,483","13,681",63%,325,"1,417","-1,092",37%,"4,341",77,"4,263",50%,538,"1,035",-497,36%,"6,995",138,"6,857",81%,"1,456",44,"1,412",49%,,,,,"28,819","4,194","24,624","16,035",872,"15,162","1,637",772,865
2022,"2,792","12,776","-9,984",49%,336,"1,169",-833,32%,"3,610","2,158","1,453",66%,990,384,606,31%,"3,230","2,568",662,66%,"4,547","1,762","2,785",51%,,,,,"15,506","20,816","-5,310","19,464",438,"19,026",797,"1,074",-277
2023,"15,617","2,749","12,868",70%,203,"1,807","-1,604",42%,"4,265","1,586","2,680",67%,239,"1,915","-1,676",49%,"3,986","1,000","2,985",57%,"8,945",414,"8,531",76%,64,14,50,77%,"33,319","9,486","23,834","15,270","1,420","13,850","2,455",422,"2,033"
2024,"20,274",824,"19,450",80%,71,"2,461","-2,390",53%,"3,229","1,644","1,585",55%,137,"2,819","-2,682",67%,"5,068",906,"4,162",68%,"9,903",282,"9,621",83%,"5,051","1,389","3,662",52%,"43,733","10,325","33,408","18,234","1,046","17,189","2,746",249,"2,497"
