Year,Coal (%),Energy storage (%),Fossil fuel generation share [note 15] (%),Gas (%),Hydro (natural flow) (%),Low carbon generation share [note 14] (%),Nuclear (%),Offshore wind (%),Oil (%),Onshore wind (%),Other fuels [note 10] (%),Renewable generation share [note 13] (%),Solar (%),Thermal renewables [note 9] (%),Total all generating companies (%),Total wind [note 11] (%)
1996,41.4%,0.4%,69.6%,24.0%,1.0%,28.7%,27.0%,0.0%,4.3%,0.1%,1.2%,1.7%,0.0%,0.6%,100.0%,0.2%
1997,34.1%,0.4%,68.3%,31.6%,1.2%,30.1%,28.0%,0.0%,2.5%,0.2%,1.2%,2.1%,0.0%,0.7%,100.0%,0.2%
1998,33.9%,0.5%,68.4%,32.5%,1.4%,30.0%,27.4%,0.0%,2.0%,0.2%,1.2%,2.6%,0.0%,0.9%,100.0%,0.3%
1999,28.8%,0.8%,69.4%,38.8%,1.5%,28.6%,25.8%,0.0%,1.8%,0.2%,1.2%,2.8%,0.0%,1.1%,100.0%,0.3%
2000,31.8%,0.7%,72.8%,39.3%,1.4%,25.3%,22.6%,0.0%,1.7%,0.3%,1.2%,2.8%,0.0%,1.2%,100.0%,0.3%
2001,34.2%,0.6%,72.4%,36.9%,1.1%,26.0%,23.4%,0.0%,1.4%,0.3%,0.9%,2.6%,0.0%,1.3%,100.0%,0.3%
2002,32.1%,0.7%,72.7%,39.3%,1.2%,25.7%,22.7%,0.0%,1.2%,0.3%,1.0%,3.0%,0.0%,1.5%,100.0%,0.4%
2003,34.7%,0.7%,73.3%,37.4%,0.8%,25.1%,22.3%,0.0%,1.2%,0.3%,1.0%,2.8%,0.0%,1.7%,100.0%,0.4%
2004,33.5%,0.7%,74.5%,39.9%,1.2%,24.1%,20.3%,0.1%,1.2%,0.4%,0.8%,3.7%,0.0%,2.0%,100.0%,0.6%
2005,33.8%,0.7%,73.5%,38.3%,1.2%,24.9%,20.5%,0.1%,1.3%,0.6%,0.9%,4.4%,0.0%,2.4%,100.0%,0.9%
2006,37.5%,1.0%,74.5%,35.5%,1.2%,23.7%,19.0%,0.2%,1.6%,0.9%,0.9%,4.7%,0.0%,2.5%,100.0%,1.4%
2007,34.3%,1.0%,77.3%,41.8%,1.3%,20.8%,15.9%,0.2%,1.3%,1.1%,0.9%,5.0%,0.0%,2.4%,100.0%,1.7%
2008,32.0%,1.1%,79.0%,45.3%,1.3%,19.1%,13.5%,0.3%,1.7%,1.5%,0.8%,5.6%,0.0%,2.5%,100.0%,2.3%
2009,27.4%,1.0%,73.1%,44.2%,1.4%,25.0%,18.3%,0.5%,1.6%,2.0%,0.9%,6.7%,0.0%,2.8%,100.0%,3.0%
2010,28.2%,0.8%,75.4%,46.0%,0.9%,23.1%,16.3%,0.8%,1.3%,1.9%,0.7%,6.9%,0.0%,3.2%,100.0%,3.3%
2011,29.5%,0.8%,70.1%,39.8%,1.6%,28.3%,18.8%,1.4%,0.9%,2.9%,0.8%,9.6%,0.1%,3.6%,100.0%,5.1%
2012,39.2%,0.8%,67.6%,27.5%,1.5%,30.7%,19.4%,2.1%,0.8%,3.4%,0.9%,11.3%,0.4%,4.1%,100.0%,6.4%
2013,36.4%,0.8%,63.7%,26.8%,1.3%,34.6%,19.7%,3.2%,0.6%,4.7%,1.0%,14.9%,0.6%,5.1%,100.0%,9.1%
2014,29.7%,0.9%,60.1%,29.8%,1.7%,37.9%,18.9%,4.0%,0.6%,5.5%,1.2%,19.1%,1.2%,6.7%,100.0%,10.2%
2015,22.4%,0.8%,52.5%,29.5%,1.9%,45.4%,20.8%,5.1%,0.6%,6.7%,1.4%,24.6%,2.2%,8.6%,100.0%,12.9%
2016,9.0%,0.9%,51.9%,42.3%,1.6%,45.6%,21.2%,4.8%,0.6%,6.1%,1.6%,24.5%,3.1%,8.9%,100.0%,11.9%
2017,6.7%,0.9%,47.6%,40.4%,1.7%,50.0%,20.8%,6.2%,0.5%,8.5%,1.5%,29.2%,3.4%,9.4%,100.0%,14.7%
2018,5.0%,0.8%,44.9%,39.4%,1.6%,52.5%,19.5%,8.0%,0.5%,9.1%,1.8%,33.0%,3.8%,10.5%,100.0%,17.1%
2019,2.1%,0.6%,43.4%,40.7%,1.8%,53.8%,17.2%,9.8%,0.6%,9.7%,2.3%,36.6%,3.8%,11.5%,100.0%,19.5%
2020,1.8%,0.5%,38.4%,36.1%,2.2%,59.3%,16.2%,13.1%,0.5%,11.2%,1.9%,43.1%,4.0%,12.4%,100.0%,24.4%
2021,2.2%,0.7%,42.7%,39.9%,1.8%,54.8%,15.0%,11.6%,0.6%,9.5%,1.9%,39.8%,3.9%,13.0%,100.0%,21.1%
2022,1.8%,0.7%,41.2%,38.5%,1.6%,56.2%,14.6%,13.9%,0.9%,10.8%,1.9%,41.6%,4.3%,11.1%,100.0%,24.7%
2023,1.3%,1.0%,36.6%,34.6%,1.9%,60.3%,13.8%,16.9%,0.7%,11.1%,2.2%,46.5%,5.0%,11.7%,100.0%,27.9%
2024,0.7%,1.4%,31.8%,30.4%,2.0%,64.7%,14.2%,17.0%,0.6%,12.2%,2.2%,50.4%,5.0%,14.1%,100.0%,29.2%
