Generation type,Fuel,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
Major power producers [note 6][note 7],Coal,43.0%,35.5%,35.5%,30.3%,34.2%,36.0%,34.2%,37.0%,35.7%,36.1%,40.1%,36.6%,33.9%,29.0%,29.9%,31.5%,42.6%,40.1%,33.3%,25.6%,10.5%,7.8%,6.0%,2.6%,2.2%,2.6%,2.2%,1.6%,0.9%,,,,,
Major power producers [note 6][note 7],Oil,3.4%,1.6%,1.0%,0.9%,0.7%,0.7%,0.6%,0.6%,0.5%,0.8%,1.0%,0.8%,1.3%,1.1%,0.7%,0.3%,0.4%,0.2%,0.2%,0.2%,0.2%,0.1%,0.2%,0.3%,0.2%,0.3%,0.3%,0.2%,0.2%,,,,,
Major power producers [note 6][note 7],Gas,23.1%,31.0%,31.7%,38.1%,37.9%,36.0%,38.4%,36.2%,39.2%,38.0%,35.1%,41.3%,45.5%,44.6%,46.5%,39.9%,26.3%,25.5%,29.5%,29.9%,45.1%,43.3%,42.6%,44.0%,38.9%,43.4%,42.2%,37.7%,32.7%,,,,,
Major power producers [note 6][note 7],Nuclear,29.0%,30.3%,29.8%,28.3%,24.9%,25.5%,24.8%,24.5%,22.3%,22.5%,20.9%,17.4%,14.8%,20.2%,17.9%,20.7%,21.5%,21.8%,21.2%,23.8%,24.5%,24.4%,23.2%,20.9%,19.7%,18.0%,17.5%,17.1%,17.7%,,,,,
Major power producers [note 6][note 7],Hydro (natural flow),0.9%,1.0%,1.3%,1.3%,1.3%,0.9%,1.1%,0.7%,1.1%,1.1%,1.0%,1.2%,1.2%,1.3%,0.8%,1.4%,1.3%,1.1%,1.5%,1.7%,1.4%,1.5%,1.4%,1.6%,2.0%,1.5%,1.5%,1.6%,1.8%,,,,,
Major power producers [note 6][note 7],Total wind [note 11],0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.0%,1.5%,1.9%,2.3%,3.9%,5.2%,7.4%,8.9%,11.2%,10.5%,14.2%,17.1%,20.5%,26.0%,22.5%,26.5%,31.2%,33.1%,,,,,
Major power producers [note 6][note 7],Onshore wind,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.8%,1.2%,1.5%,0.9%,1.6%,2.3%,3.5%,4.4%,5.9%,5.6%,7.3%,9.4%,8.6%,10.0%,8.6%,9.9%,10.3%,12.0%,,,,,
Major power producers [note 6][note 7],Offshore wind,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.3%,0.4%,0.0%,0.0%,0.0%,0.0%,4.5%,0.5%,0.7%,1.0%,1.3%,11.8%,15.9%,13.9%,16.6%,20.8%,21.1%,,,,,
Major power producers [note 6][note 7],Solar,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.5%,0.7%,1.0%,1.3%,1.4%,1.7%,1.7%,1.8%,1.9%,2.1%,,,,,
Major power producers [note 6][note 7],Thermal renewables [note 9],0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.2%,0.3%,0.4%,0.8%,0.8%,0.7%,0.7%,0.8%,1.1%,1.4%,1.9%,2.8%,4.2%,6.0%,5.9%,6.2%,7.1%,7.7%,8.2%,8.7%,6.7%,6.9%,9.2%,,,,,
Major power producers [note 6][note 7],Other fuels [note 10],0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.2%,0.2%,0.2%,0.3%,0.4%,0.4%,0.4%,0.6%,0.6%,0.6%,0.7%,0.7%,,,,,
Major power producers [note 6][note 7],Energy storage,0.5%,0.5%,0.5%,0.9%,0.8%,0.7%,0.8%,0.8%,0.7%,0.8%,1.1%,1.1%,1.2%,1.1%,0.9%,0.9%,0.9%,0.9%,1.0%,0.9%,1.0%,1.0%,0.9%,0.7%,0.7%,0.8%,0.8%,1.2%,1.7%,,,,,
Major power producers [note 6][note 7],Total major power producers,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,100.0%,,,,,
Other generators,Coal,20.2%,17.9%,15.1%,13.0%,8.3%,13.7%,10.0%,12.0%,11.1%,10.9%,10.8%,10.9%,12.1%,10.8%,10.9%,10.7%,8.4%,0.3%,0.2%,0.2%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,0.1%,,,,,
Other generators,Oil,15.5%,12.9%,13.5%,11.4%,11.6%,8.8%,8.4%,6.7%,7.8%,6.7%,6.8%,5.9%,6.4%,6.2%,7.4%,5.8%,4.1%,3.9%,3.7%,3.2%,2.8%,2.4%,1.8%,2.3%,1.7%,2.4%,3.7%,2.5%,2.3%,,,,,
Other generators,Gas,35.7%,40.1%,41.5%,46.1%,52.5%,47.0%,49.7%,49.6%,46.3%,41.9%,39.4%,46.3%,43.5%,40.1%,40.4%,38.8%,39.2%,38.5%,32.3%,26.6%,24.6%,24.3%,22.5%,25.0%,22.9%,22.8%,20.3%,21.5%,21.2%,,,,,
Other generators,Hydro (natural flow),2.4%,3.1%,3.0%,2.9%,2.1%,2.7%,2.6%,1.9%,2.6%,3.0%,2.5%,2.6%,2.7%,2.7%,2.6%,3.1%,3.2%,3.3%,3.4%,3.2%,3.1%,3.4%,3.1%,3.0%,3.4%,3.2%,2.1%,2.9%,3.2%,,,,,
Other generators,Total wind [note 11],0.0%,0.0%,0.0%,2.7%,2.7%,3.0%,3.8%,3.6%,5.4%,8.0%,11.7%,4.8%,5.2%,7.9%,6.7%,8.6%,7.6%,13.2%,14.0%,16.4%,14.0%,17.2%,17.0%,15.2%,17.0%,14.3%,15.8%,14.4%,13.5%,,,,,
Other generators,Onshore wind,0.0%,0.0%,0.0%,2.7%,2.7%,3.0%,3.8%,3.6%,4.9%,6.9%,9.9%,4.6%,4.4%,7.0%,6.7%,8.6%,7.6%,13.2%,13.9%,16.3%,13.9%,17.1%,17.0%,14.9%,17.0%,14.2%,15.5%,14.1%,13.2%,,,,,
Other generators,Offshore wind,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.6%,1.1%,1.8%,0.2%,0.8%,0.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.0%,0.3%,0.0%,0.1%,0.3%,0.3%,0.3%,,,,,
Other generators,Solar,2.0%,2.5%,3.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.1%,0.1%,0.1%,0.7%,3.8%,6.0%,10.9%,14.3%,18.1%,16.8%,17.3%,14.8%,15.0%,15.1%,16.9%,17.8%,17.2%,,,,,
